taxonomy_id	common_name	scientific_name	release_folder_name
236	Brucella ovis	Brucella ovis	brucella_ovis
470	Acinetobacter baumannii	Acinetobacter baumannii	acinetobacter_baumannii
471	Acinetobacter calcoaceticus	Acinetobacter calcoaceticus	acinetobacter_calcoaceticus
472	Acinetobacter sp.	Acinetobacter sp.	acinetobacter_sp
573	Klebsiella pneumoniae	Klebsiella pneumoniae	klebsiella_pneumoniae
820	Bacteroides uniformis	Bacteroides uniformis	bacteroides_uniformis
821	Bacteroides vulgatus	Bacteroides vulgatus	bacteroides_vulgatus
847	Oxalobacter formigenes	Oxalobacter formigenes	oxalobacter_formigenes
850	Fusobacterium mortiferum	Fusobacterium mortiferum	fusobacterium_mortiferum
901	Desulfovibrio piger	Desulfovibrio piger	desulfovibrio_piger
905	Acidaminococcus fermentans	Acidaminococcus fermentans	acidaminococcus_fermentans
1255	Pediococcus pentosaceus	Pediococcus pentosaceus	pediococcus_pentosaceus
1261	Peptostreptococcus anaerobius	Peptostreptococcus anaerobius	peptostreptococcus_anaerobius
1308	Streptococcus thermophilus	Streptococcus thermophilus	streptococcus_thermophilus
1318	Streptococcus parasanguinis	Streptococcus parasanguinis	streptococcus_parasanguinis
1322	Blautia hansenii	Blautia hansenii	blautia_hansenii
1351	Enterococcus faecalis	Enterococcus faecalis	enterococcus_faecalis
1352	Enterococcus faecium	Enterococcus faecium	enterococcus_faecium
1358	Lactococcus lactis	Lactococcus lactis	lactococcus_lactis
1535	Clostridium leptum	Clostridium leptum	clostridium_leptum
1598	Lactobacillus reuteri	Lactobacillus reuteri	lactobacillus_reuteri
1623	Lactobacillus ruminis	Lactobacillus ruminis	lactobacillus_ruminis
1680	Bifidobacterium adolescentis	Bifidobacterium adolescentis	bifidobacterium_adolescentis
1681	Bifidobacterium bifidum	Bifidobacterium bifidum	bifidobacterium_bifidum
1685	Bifidobacterium breve	Bifidobacterium breve	bifidobacterium_breve
1735	Holdemanella biformis	Holdemanella biformis	holdemanella_biformis
2173	Methanobrevibacter smithii	Methanobrevibacter smithii	methanobrevibacter_smithii
2702	Gardnerella vaginalis	Gardnerella vaginalis	gardnerella_vaginalis
3330	white spruce	Picea glauca	picea_glauca
3635	cotton	Gossypium hirsutum	gossypium_hirsutum
3694	black cottonwood	Populus trichocarpa	populus_trichocarpa
3702	thale cress	Arabidopsis thaliana	arabidopsis_thaliana
3708	rape	Brassica napus	brassica_napus
3711	field mustard	Brassica rapa	brassica_rapa
3712	wild cabbage	Brassica oleracea	brassica_oleracea
3750	apple	Malus domestica	malus_domestica
3821	pigeon pea	Cajanus cajan	cajanus_cajan
3827	chickpea	Cicer arietinum	cicer_arietinum
3847	soybean	Glycine max	glycine_max
3880	barrel medic	Medicago truncatula	medicago_truncatula
3885	Phaseolus vulgaris	Phaseolus vulgaris	phaseolus_vulgaris
3981	rubber tree	Hevea brasiliensis	hevea_brasiliensis
4072	Capsicum annuum	Capsicum annuum	capsicum_annuum
4081	tomato	Solanum lycopersicum	solanum_lycopersicum
4232	common sunflower	Helianthus annuus	helianthus_annuus
4530	rice	Oryza sativa	oryza_sativa
4558	sorghum	Sorghum bicolor	sorghum_bicolor
4565	bread wheat	Triticum aestivum	triticum_aestivum
4577	Zea mays	Zea mays	zea_mays
4615	pineapple	Ananas comosus	ananas_comosus
4679	onion	Allium cepa	allium_cepa
4896	fission yeast	Schizosaccharomyces pombe	schizosaccharomyces_pombe
5039	Blastomyces dermatitidis	Blastomyces dermatitidis	blastomyces_dermatitidis
5476	Candida albicans	Candida albicans	candida_albicans
5833	malaria parasite P. falciparum	Plasmodium falciparum	plasmodium_falciparum
5861	Plasmodium yoelii	Plasmodium yoelii	plasmodium_yoelii
